"Index","Room","Ren","DT","TM","S1_L","S2_L","S3_L","S1_T","S2_T","S3_T","FN"
879,"211","New",41,2,0,0,1,23.802,18.358,22.945,1087
880,"111","New",52,19,1,1,1,21.973,22.004,22.134,1080
881,"111","New",7,8,1,1,1,19.777,23.847,23.669,1144
882,"311","Old",8,9,1,1,1,20.565,20.937,23.9,1051
883,"211","New",27,23,0,0,1,20.894,23.126,19.271,1093
884,"211","New",17,20,1,1,1,24.041,23.368,20.794,1137
885,"311","Old",39,9,1,1,1,18.548,24.008,23.607,1049
886,"111","New",26,2,0,0,1,24.249,22.392,22.765,1083
887,"211","New",35,12,0,0,1,23.754,22.273,22.862,1149
888,"111","New",49,4,1,1,1,22.979,22.528,24.424,1104
889,"211","New",6,4,1,1,1,24.729,27.421,21.555,1126
890,"211","New",4,16,0,0,1,27.717,24.324,25.123,1135
891,"311","Old",1,5,0,0,1,21.488,24.706,26.449,1111
892,"311","Old",48,8,0,0,1,24.286,23.913,23.968,1116
893,"111","New",17,6,0,0,1,21.082,18.098,22.521,1127
894,"211","New",37,3,0,0,1,23.925,22.816,19.772,1089
895,"311","Old",14,7,1,1,1,23.492,21.251,25.013,1141
896,"211","New",44,1,0,0,1,18.983,22.706,22.9,1113
897,"111","New",22,16,1,1,1,23.257,16.227,24.269,1126
898,"211","New",13,12,0,0,1,20.815,20.735,23.253,1091
899,"211","New",47,18,0,0,1,23.892,24.004,23.441,1103
900,"211","New",28,17,1,1,1,22.162,24.253,22.816,1093
901,"211","New",49,15,1,1,1,21.572,22.651,23.051,1101
902,"311","Old",54,19,0,0,1,23.684,22.691,22.709,1069
903,"211","New",29,20,1,1,1,23.337,25.742,20.821,1123
904,"111","New",41,7,1,1,1,24.038,23.071,24.338,1072
905,"111","New",16,24,0,0,1,21.859,19.491,20.309,1132
906,"111","New",43,20,0,0,1,23.007,20.105,24.197,1055
907,"111","New",39,6,1,1,1,20.78,18.868,22.726,1068
908,"111","New",26,19,0,0,1,24.795,23.39,24.148,1122
909,"311","Old",39,17,1,1,1,21.168,24.222,24.403,1116
910,"111","New",56,19,0,0,1,19.716,20.79,24.202,1142
911,"111","New",56,1,0,0,1,19.917,21.851,20.844,1064
912,"311","Old",1,18,1,1,1,22.1,22.977,23.385,1104
913,"211","New",6,6,1,1,1,22.6,22.296,23.402,1027
914,"211","New",14,7,0,0,1,22.145,20.014,20.043,1146
915,"311","Old",47,21,0,0,1,24.541,24.467,21.285,1096
916,"311","Old",40,9,0,0,1,23.073,22.452,25.723,1146
917,"111","New",53,4,1,1,1,21.347,18.982,24.102,1081
918,"211","New",32,3,0,0,1,25.39,23.089,23.213,1094
919,"211","New",52,13,0,0,1,22.314,20.93,21.205,1098
920,"211","New",21,19,0,0,1,22.29,23.864,21.523,1067
921,"111","New",21,18,1,1,1,23.432,22.126,22.881,1100
922,"111","New",13,15,0,0,1,21.565,25.053,29.167,1169
923,"311","Old",49,21,1,1,1,25.162,21.456,22.236,1164
924,"111","New",42,8,0,0,1,20.287,22.231,25.67,1098
925,"211","New",57,7,0,0,1,25.827,22.612,21.796,1116
926,"211","New",33,2,0,0,1,25.309,20.788,22.84,1106
927,"311","Old",47,9,1,1,1,25.745,24.919,22.644,1099
928,"111","New",42,9,0,0,1,19.924,23.31,27.05,1168
929,"111","New",51,10,0,0,1,20.308,20.516,24.518,1088
930,"311","Old",46,3,1,1,1,24.326,24.564,21.755,1143
931,"211","New",1,7,0,0,1,20.985,24.006,22.422,1132
932,"311","Old",60,19,0,0,1,19.418,21.11,23.939,1112
933,"311","Old",26,6,1,1,1,21.6,22.777,25.813,1104
934,"311","Old",25,15,0,0,1,24.682,21.821,24.481,1115
935,"311","Old",50,16,1,1,1,22.006,18.918,23.826,1089
936,"211","New",21,10,1,1,1,26.283,23.16,25.937,1072
937,"311","Old",28,20,0,0,1,23.399,24.715,23.43,1142
938,"111","New",53,6,0,0,1,22.157,18.468,25.151,1124
939,"111","New",3,14,0,0,1,19.923,19.212,25.309,1097
940,"111","New",15,16,1,1,1,17.624,18.053,23.725,1051
941,"211","New",8,14,1,1,1,21.585,20.951,21.365,1126
942,"311","Old",54,1,0,0,1,21.556,25.068,24.714,1030
943,"311","Old",60,2,1,1,1,22.287,21.867,23.361,1093
944,"111","New",5,16,1,1,1,22.447,20.841,26.074,1046
945,"311","Old",58,17,1,1,1,23.527,22.303,24.153,1045
946,"111","New",5,2,1,1,1,21.114,25.338,23.152,1079
947,"311","Old",59,19,1,1,1,19.424,21.645,22.335,1118
948,"111","New",28,13,1,1,1,22.765,20.667,21.785,1073
949,"111","New",44,5,1,1,1,22.491,22.133,24.1,1038
950,"311","Old",47,13,1,1,1,19.802,24.664,20.055,1092
951,"311","Old",22,2,1,1,1,25.876,23.465,23.718,1095
952,"211","New",31,2,0,0,1,21.388,24.089,24.416,1067
953,"311","Old",9,5,0,0,1,18.52,25.23,26.348,1131
954,"211","New",11,23,0,0,1,20.798,23.532,23.725,1164
955,"211","New",50,9,1,1,1,23.51,25.859,26.24,1171
956,"211","New",45,1,0,0,1,22.972,22.835,22.924,1119
957,"311","Old",15,24,0,0,1,24.173,22.914,22.43,1059
958,"311","Old",55,6,1,1,1,22.561,20.678,22.245,1082
959,"111","New",35,3,1,1,1,21.464,20.23,26.264,1111
960,"111","New",57,13,0,0,1,23.628,21.121,20.618,1106
961,"211","New",19,14,0,0,1,24.505,20.902,25.659,1149
962,"311","Old",38,11,1,1,1,23.077,23.471,21.434,1071
963,"311","Old",20,14,0,0,1,20.856,21.098,22.717,1083
964,"111","New",60,14,1,1,1,18.345,22.102,25.54,1088
965,"111","New",31,24,0,0,1,20.132,19.624,22.623,1081
966,"111","New",40,22,1,1,1,19.912,21.401,21.493,1107
967,"211","New",39,8,1,1,1,22.911,23.791,17.938,1085
968,"311","Old",32,3,0,0,1,23.46,23.074,27.408,1084
969,"111","New",43,17,0,0,1,22.298,16.953,22.146,1089
970,"111","New",54,14,1,1,1,21.302,23.755,21.6,1066
971,"211","New",4,24,0,0,1,25.013,23.841,20.04,1088
972,"211","New",13,3,1,1,1,22.004,23.368,22.936,1111
973,"211","New",54,13,1,1,1,22.829,23.386,23.548,1124
974,"211","New",6,16,1,1,1,25.318,24.467,23.391,1124
975,"311","Old",44,19,1,1,1,24.011,21.67,23.33,1082
976,"211","New",54,7,0,0,1,19.444,20.836,22.956,1124
977,"211","New",41,21,0,0,1,23.492,19.881,25.085,1143
978,"211","New",27,19,1,1,1,22.955,22.04,22.61,1135
979,"311","Old",31,3,1,1,1,25.805,23.495,21.067,1178
980,"211","New",21,7,0,0,1,24.237,22.409,27.05,1120
981,"311","Old",1,13,0,0,1,21.691,18.432,23.808,1156
982,"211","New",21,2,0,0,1,21.658,23.94,22.21,1092
983,"111","New",24,12,0,0,1,20.484,20.121,26.68,1143
984,"111","New",19,23,1,1,1,22.172,22.622,25.621,1108
985,"111","New",50,20,1,1,1,15.92,20.704,22.167,1119
986,"211","New",44,14,0,0,1,23.231,19.538,21.327,1129
987,"211","New",42,22,1,1,1,23.626,21.436,23.95,1084
988,"211","New",36,24,1,1,1,24.204,19.314,22.688,1084
989,"311","Old",8,23,1,1,1,26.131,25.893,22.759,1061
990,"111","New",7,5,0,0,1,18.641,20.685,20.222,1137
991,"211","New",44,3,1,1,1,24.074,23.197,23.306,1065
992,"211","New",1,19,1,1,1,23.286,21.819,22.097,1076
993,"211","New",3,3,0,0,1,21.345,20.976,22.902,1078
994,"211","New",58,9,1,1,1,21.584,23.464,26.916,1064
995,"211","New",3,21,0,0,1,21.093,26.334,25.858,1085
996,"211","New",21,13,0,0,1,21.992,20.099,23.843,1166
997,"211","New",29,18,0,0,1,25.892,19.403,21.148,1051
998,"111","New",33,3,1,1,1,19.016,18.627,26.098,1114
999,"211","New",22,16,1,1,1,19.586,20.405,23.162,1105
1000,"211","New",24,5,0,0,1,21.331,19.083,23.979,1072
1001,"111","New",56,15,0,0,1,22.564,21.087,22.948,1067
1002,"211","New",47,9,1,1,1,22.837,23.154,26.529,1112
1003,"211","New",51,3,0,0,1,22.366,22.874,22.089,1072
1004,"211","New",8,22,1,1,1,23.129,24.71,23.409,1094
1005,"311","Old",7,15,0,0,1,23.582,21.379,20.803,1131
1006,"211","New",5,4,1,1,1,26.835,19.596,22.698,1121
1007,"111","New",31,2,1,1,1,22.945,20.634,22.96,1095
1008,"311","Old",24,13,1,1,1,21.378,22.4,20.673,1074
1009,"111","New",17,7,1,1,1,24.109,20.052,22.123,1102
1010,"211","New",48,9,0,0,1,20.929,20.027,22.896,1167
1011,"311","Old",2,19,0,0,1,23.991,24.783,22.067,1042
1012,"111","New",21,6,1,1,1,24.087,20.231,22.083,1162
1013,"111","New",55,24,1,1,1,23.915,20.897,24.59,1107
1014,"211","New",47,14,1,1,1,22.584,19.177,21.628,1082
1015,"111","New",9,14,1,1,1,24.155,20.806,22.657,1087
1016,"311","Old",7,23,1,1,1,24.275,23.531,26.098,1111
1017,"211","New",41,16,1,1,1,20.993,27.186,24.789,1080
1018,"211","New",1,14,0,0,1,23.29,22.781,24.839,1108
1019,"311","Old",36,17,0,0,1,23.043,18.526,24.626,1094
1020,"111","New",49,18,0,0,1,21.364,23.674,23.273,1050
1021,"211","New",13,24,1,1,1,24.169,20.391,21.788,1106
1022,"311","Old",40,23,0,0,1,25.494,22.503,22.123,1055
1023,"311","Old",46,9,0,0,1,24.568,23.128,24.124,1147
1024,"111","New",52,6,0,0,1,16.773,23.094,21.073,1072
1025,"111","New",33,9,0,0,1,24.862,23.24,22.123,1066
1026,"311","Old",44,17,1,1,1,25.11,24.29,24.718,1133
1027,"111","New",41,1,0,0,1,18.237,20.956,22.199,1114
1028,"311","Old",35,15,1,1,1,27.596,21.403,21.133,1080
1029,"111","New",56,2,1,1,1,24.426,19.66,19.135,1057
1030,"311","Old",52,23,1,1,1,22.424,23.457,20.974,1168
1031,"311","Old",56,11,1,1,1,20.65,18.475,24.895,1147
1032,"111","New",18,23,0,0,1,26.012,20.785,25.842,1169
1033,"111","New",59,10,1,1,1,18.028,23.638,24.478,1098
1034,"211","New",58,16,0,0,1,24.637,23.328,25.157,1074
1035,"311","Old",27,1,1,1,1,22.249,20.84,20.835,1080
1036,"211","New",8,4,0,0,1,24.874,21.73,22.937,1110
1037,"111","New",24,1,1,1,1,17.909,20.344,23.387,1063
1038,"211","New",41,18,0,0,1,25.116,26.216,23.043,1105
1039,"211","New",38,18,1,1,1,21.568,22.611,20.48,1117
1040,"311","Old",7,16,0,0,1,23.98,24.295,26.818,1135
1041,"311","Old",11,2,0,0,1,21.696,22.815,20.567,1154
1042,"211","New",49,24,0,0,1,25.238,23.664,24.892,1128
1043,"311","Old",56,1,0,0,1,24.76,28.317,21.319,1089
1044,"311","Old",25,20,0,0,1,21.709,24.117,23.351,1120
1045,"311","Old",23,12,1,1,1,21.939,23.836,22.433,1098
1046,"111","New",60,11,1,1,1,19.675,22.236,24.557,1094
1047,"311","Old",60,22,0,0,1,23.424,21.807,21.135,1104
1048,"211","New",27,17,0,0,1,20.572,22.087,23.46,1106
1049,"211","New",38,24,0,0,1,23.501,21.677,22.289,1061
1050,"311","Old",15,14,1,1,1,17.859,26.825,25.095,1150
1051,"111","New",50,12,0,0,1,18.757,20.388,25.919,1122
1052,"311","Old",31,5,1,1,1,22.338,26.036,25.018,1080
1053,"211","New",25,15,0,0,1,22.125,21.274,21.131,1090
1054,"111","New",24,18,0,0,1,20.829,20.886,22.192,1106
1055,"211","New",54,5,0,0,1,27.379,25.61,24.549,1084
1056,"311","Old",21,6,1,1,1,20.466,21.674,26.395,1098
1057,"311","Old",45,12,1,1,1,21.178,23.652,20.762,1089
1058,"111","New",41,2,0,0,1,22.108,24.375,24.258,1077
1059,"211","New",53,20,0,0,1,23.554,21.457,20.586,1032
1060,"111","New",5,22,0,0,1,19.239,18.391,19.036,1098
1061,"211","New",8,24,1,1,1,22.1,22.373,22.03,1078
1062,"311","Old",8,8,0,0,1,24.363,24.684,21.313,1086
1063,"111","New",29,19,1,1,1,25.029,20.111,23.049,1132
1064,"211","New",35,8,1,1,1,25.128,24.399,22.334,1097
1065,"111","New",17,13,1,1,1,22.925,21.111,22.392,1063
1066,"111","New",18,10,0,0,1,20.435,22.372,25.47,1143
1067,"211","New",56,15,1,1,1,22.392,21.892,23.106,1096
1068,"111","New",48,23,0,0,1,21.434,20.377,19.702,1081
1069,"111","New",6,13,1,1,1,23.148,18.733,24.582,1120
1070,"211","New",25,3,0,0,1,23.492,22.841,24.958,1097
1071,"311","Old",32,21,1,1,1,22.68,19.319,25.619,1095
1072,"311","Old",40,14,1,1,1,24.064,20.47,20.104,1119
1073,"111","New",18,20,1,1,1,21.211,19.319,25.824,1072
1074,"211","New",47,10,0,0,1,20.642,20.821,20.742,1049
1075,"211","New",50,21,0,0,1,23.375,22.563,22.676,1051
1076,"311","Old",44,11,0,0,1,21.888,20.072,23.622,1110
1077,"211","New",46,23,0,0,1,22.944,22.452,20.172,1130
1078,"311","Old",47,3,1,1,1,22.198,19.273,22.557,1125
1079,"111","New",23,24,0,0,1,25.431,21.318,20.554,1149
1080,"111","New",53,15,1,1,1,18.128,23.414,24.855,1212
1081,"311","Old",14,13,1,1,1,20.089,23.9,21.373,1068
1082,"311","Old",10,8,0,0,1,21.277,20.238,20.273,1106
1083,"111","New",17,23,1,1,1,17.837,21.303,22.75,1158
1084,"211","New",21,8,1,1,1,22.632,23.118,21.35,1095
1085,"111","New",22,24,0,0,1,20.528,20.309,21.912,1094
1086,"211","New",12,24,1,1,1,23.603,22.674,24.145,1140
1087,"311","Old",22,4,1,1,1,23.592,25.417,22.068,1068
1088,"311","Old",54,3,0,0,1,21.752,21.643,23.665,1082
1089,"111","New",47,1,1,1,1,19.712,24.354,26.607,1061
1090,"311","Old",5,1,0,0,1,25.18,21.846,23.799,1128
1091,"111","New",46,14,0,0,1,19.407,23.311,21.333,1085
1092,"211","New",24,10,1,1,1,24.767,23.497,22.781,1085
1093,"111","New",6,4,1,1,1,14.929,18.368,24.331,1067
1094,"111","New",13,20,0,0,1,18.913,22.125,25.278,1113
1095,"111","New",25,11,0,0,1,20.576,24.504,23.103,1084
1096,"311","Old",47,24,1,1,1,23.66,23.863,24.354,1060
1097,"311","Old",23,3,1,1,1,25.529,22.355,22.133,1069
1098,"111","New",33,20,0,0,1,22.511,18.955,22.418,1119
1099,"111","New",39,14,0,0,1,24.502,21.137,22.499,1053
1100,"311","Old",12,4,1,1,1,20.156,23.021,22.733,1119
1101,"311","Old",20,7,0,0,1,21.422,24.98,23.879,1114
1102,"311","Old",44,14,1,1,1,24.574,22.012,25.116,1116
1103,"311","Old",41,15,1,1,1,22.089,26.07,23.322,1104
1104,"111","New",38,9,1,1,1,21.175,21.403,23.283,1080
1105,"311","Old",40,15,1,1,1,24.586,23.897,22.503,1141
1106,"211","New",27,1,0,0,1,22.125,25.698,25.928,1144
1107,"311","Old",8,24,1,1,1,26.573,19.253,23.283,1117
1108,"211","New",3,10,0,0,1,22.409,20.744,24.113,1141
1109,"211","New",43,21,0,0,1,23.435,22.912,22.645,1060
1110,"111","New",3,15,0,0,1,22.976,22.203,22.904,1118
1111,"311","Old",9,17,1,1,1,23.627,22.288,22.554,1148
1112,"311","Old",43,7,1,1,1,18.927,21.652,25.79,1072
1113,"211","New",41,9,0,0,1,26.511,25.596,25.642,1159
1114,"211","New",7,23,1,1,1,24.791,22.641,22.929,1128
1115,"311","Old",19,17,0,0,1,21.215,19.558,26.528,1122
1116,"111","New",46,16,0,0,1,19.769,23.1,23.02,1121
1117,"111","New",24,10,0,0,1,21.808,19.242,19.847,1109
1118,"311","Old",9,12,0,0,1,25.127,23.946,24.144,1081
1119,"211","New",4,11,1,1,1,22.854,22.186,23.342,1091
1120,"311","Old",29,1,0,0,1,22.733,22.013,20.192,1148
1121,"311","Old",32,18,0,0,1,22.676,19.566,23.371,1090
1122,"211","New",4,6,1,1,1,23.48,22.119,26.295,1125
1123,"211","New",29,2,1,1,1,23.123,21.218,24.882,1068
1124,"111","New",19,11,1,1,1,19.167,21.159,25.29,1094
1125,"111","New",54,8,0,0,1,22.452,20.142,25.08,1105
1126,"211","New",48,17,1,1,1,22.006,23.297,19.625,1127
1127,"311","Old",17,4,0,0,1,23.206,22.042,19.062,1075
1128,"311","Old",47,20,0,0,1,20.278,24.435,21.732,1093
1129,"311","Old",59,12,0,0,1,21.66,24.295,22.026,1106
1130,"111","New",36,8,1,1,1,19.932,20.533,23.681,1083
1131,"111","New",53,14,0,0,1,19.408,23.163,25.984,1087
1132,"311","Old",6,18,1,1,1,24.293,23.115,26.12,1045
1133,"111","New",41,22,1,1,1,22.588,19.495,25.035,1157
1134,"311","Old",2,23,1,1,1,21.241,23.112,22.121,1036
1135,"111","New",9,9,1,1,1,25.432,18.873,24.705,1216
1136,"111","New",36,15,1,1,1,19.943,21.944,20.029,1062
1137,"211","New",15,24,0,0,1,20.852,22.98,24.632,1111
1138,"311","Old",14,2,0,0,1,24.312,22.299,19.284,1161
1139,"211","New",58,13,1,1,1,24.943,23.574,20.566,1115
1140,"311","Old",1,11,1,1,1,24.766,21.985,23.36,1088
1141,"111","New",26,17,1,1,1,22.204,20.518,24.199,1075
1142,"211","New",8,21,1,1,1,23.049,23.93,21.826,1149
1143,"311","Old",4,4,0,0,1,22.612,23.138,21.662,1100
1144,"111","New",9,17,1,1,1,23.785,22.537,22.365,1079
1145,"211","New",47,2,1,1,1,25.103,22.641,24.651,1118
1146,"211","New",27,16,1,1,1,20.857,26.411,22.514,1106
1147,"311","Old",37,14,1,1,1,22.577,22.269,24.012,1076
1148,"211","New",40,4,0,0,1,23.525,21.919,24.409,1090
1149,"211","New",5,21,1,1,1,23.242,23.249,25.902,1106
1150,"111","New",17,11,0,0,1,20.713,22.829,24.873,1119
1151,"311","Old",57,19,0,0,1,25.642,24.633,27.164,1070
1152,"111","New",31,19,1,1,1,22.825,20.125,24.217,1158
1153,"311","Old",26,21,1,1,1,25.126,22.787,22.311,1083
1154,"311","Old",13,8,1,1,1,21.053,21.976,25.439,1120
1155,"311","Old",15,6,0,0,1,23.066,24.829,30.141,1164
1156,"311","Old",31,4,1,1,1,19.378,21.658,26.251,1098
1157,"111","New",55,9,0,0,1,22.514,20.563,20.999,1126
1158,"311","Old",48,9,1,1,1,21.806,23.162,21.139,1043
1159,"311","Old",22,9,0,0,1,22.418,23.017,26.19,1083
1160,"211","New",13,15,0,0,1,27.054,22.478,25.553,1139
1161,"211","New",5,3,0,0,1,26.939,21.796,25.184,1117
1162,"111","New",37,4,0,0,1,24.457,19.738,21.924,1112
1163,"311","Old",54,13,0,0,1,19.962,20.151,25.562,1095
1164,"311","Old",15,5,0,0,1,20.048,22.479,23.589,1038
1165,"211","New",17,12,0,0,1,18.545,23.311,23.342,1105
1166,"211","New",46,4,0,0,1,25.82,21.177,21.664,1073
1167,"311","Old",29,17,0,0,1,22.42,21.827,23.852,1120
1168,"211","New",20,17,0,0,1,21.328,22.624,18.88,1124
1169,"111","New",25,8,0,0,1,27.076,19.659,21.135,1101
1170,"311","Old",57,13,0,0,1,23.125,25.115,22.47,1044
1171,"111","New",6,21,0,0,1,21.14,18.027,19.851,1054
1172,"311","Old",40,1,0,0,1,25.097,23.924,22.58,1116
1173,"211","New",28,3,0,0,1,23.897,24.283,19.777,1058
1174,"311","Old",60,23,0,0,1,22.611,27.346,23.917,1091
1175,"111","New",39,16,1,1,1,20.891,22.125,22.156,1114
1176,"111","New",58,22,0,0,1,22.493,19.245,22.165,1068
1177,"111","New",21,16,0,0,1,21.703,22.881,21.81,1101
1178,"211","New",10,16,1,1,1,22.688,22.96,27.594,1141
1179,"211","New",38,5,0,0,1,23.953,18.652,24.652,1125
1180,"211","New",4,2,0,0,1,22.572,25.321,23.073,1100
1181,"311","Old",53,13,1,1,1,21.097,21.02,24.657,1135
1182,"111","New",53,19,1,1,1,23.051,19.85,24.663,1077
1183,"111","New",8,2,0,0,1,23.148,21.565,23.364,1102
1184,"111","New",52,20,1,1,1,20.303,21.025,21.359,1053
1185,"211","New",30,11,0,0,1,22.596,24.392,19.414,1074
1186,"111","New",47,23,0,0,1,18.775,18.231,24.691,1098
1187,"311","Old",36,3,0,0,1,19.13,24.324,24.386,1141
1188,"311","Old",37,19,0,0,1,23.713,21.924,24.477,1147
1189,"211","New",16,14,0,0,1,24.686,22.499,24.303,1109
1190,"211","New",34,15,1,1,1,21.223,18.925,22.313,1156
1191,"111","New",31,11,0,0,1,21.364,23.362,21.727,1079
1192,"211","New",58,1,1,1,1,23.713,19.638,21.312,1084
1193,"111","New",52,23,1,1,1,23.646,19.224,24.098,1086
1194,"311","Old",28,16,0,0,1,25.162,25.31,25.233,1051
1195,"311","Old",15,4,1,1,1,24.621,20.24,22.181,1105
1196,"211","New",54,10,0,0,1,24.024,22.865,23.773,1108
1197,"211","New",23,4,0,0,1,23.031,22.197,23.901,1111
1198,"211","New",39,3,1,1,1,24.09,23.042,26.076,1120
1199,"311","Old",24,9,1,1,1,25.983,18.968,24.986,1074
1200,"211","New",44,12,0,0,1,24.053,20.421,22.361,1082
1201,"311","Old",6,24,1,1,1,24.935,22.468,25.403,1092
1202,"311","Old",54,20,0,0,1,21.114,23.489,25.62,1043
1203,"211","New",60,4,1,1,1,23.034,22.888,23.043,1099
1204,"311","Old",17,22,1,1,1,23.06,22.645,20.988,1031
1205,"111","New",6,14,1,1,1,26.047,19.892,24.057,1111
1206,"311","Old",38,8,0,0,1,23.572,20.348,24.358,1115
1207,"211","New",46,1,0,0,1,25.635,23.824,27.24,1113
1208,"111","New",39,4,0,0,1,22.602,21.027,26.194,1128
1209,"111","New",44,13,1,1,1,21.855,24.982,20.497,1133
1210,"211","New",2,20,1,1,1,25.256,23.586,25.063,1076
1211,"111","New",34,8,0,0,1,19.927,24.031,23.589,1137
1212,"211","New",34,11,0,0,1,25.142,22.82,26.452,1157
1213,"311","Old",16,11,1,1,1,23.149,23.223,27.036,1051
1214,"311","Old",19,12,0,0,1,24.477,23.883,22.348,1084
1215,"111","New",44,24,0,0,1,23.957,21.864,28.071,1097
1216,"311","Old",55,10,0,0,1,20.783,23.319,23.335,1085
1217,"111","New",36,21,0,0,1,18.447,14.983,17.657,1103
1218,"311","Old",30,17,1,1,1,27.185,21.566,23.023,1104
1219,"211","New",52,9,1,1,1,22.461,21.394,20.499,1128
1220,"111","New",15,22,0,0,1,19.997,24.307,25.036,1138
1221,"311","Old",36,21,1,1,1,20.407,23.318,22.269,1098
1222,"111","New",44,16,0,0,1,20.23,18.135,25.24,1072
1223,"211","New",1,-15,0,0,1,23.363,24.188,23.771,1128
1224,"111","New",45,8,0,0,1,20.859,22.058,23.563,1140
1225,"211","New",14,1,0,0,1,25.008,19.656,20.935,1119
1226,"111","New",57,9,1,1,1,22.064,21.399,20.559,1107
1227,"211","New",35,5,1,1,1,21.009,22.875,24.843,1088
1228,"211","New",54,3,0,0,1,22.549,23.067,18.939,1078
1229,"311","Old",6,20,0,0,1,24.36,23.318,23.723,1121
1230,"111","New",29,21,0,0,1,21.443,19.135,24.665,1131
1231,"111","New",9,12,1,1,1,22.894,23.698,22.261,1112
1232,"211","New",40,16,0,0,1,21.434,22.21,25.412,1111
1233,"311","Old",17,12,1,1,1,22.295,23.087,17.903,1085
1234,"111","New",9,21,1,1,1,21.97,18.822,23.63,1096
1235,"111","New",43,14,1,1,1,25.842,25.311,21.469,1090
1236,"311","Old",57,24,0,0,1,25.679,23.743,20.83,1052
1237,"311","Old",22,17,1,1,1,23.554,25.196,23.132,1046
1238,"211","New",5,16,1,1,1,24.199,21.866,19.16,1100
1239,"111","New",35,6,1,1,1,20.241,23.236,24.813,1104
1240,"311","Old",56,23,1,1,1,23.643,25.823,20.567,1114
1241,"111","New",26,10,0,0,1,19.422,25.415,19.695,1105
1242,"311","Old",26,19,0,0,1,23.696,25.809,23.305,1098
1243,"311","Old",45,1,0,0,1,21.261,24.708,24.504,1145
1244,"111","New",17,5,1,1,1,22.439,20.851,24.694,1140
1245,"111","New",15,4,1,1,1,22.055,20.426,24.407,1055
1246,"311","Old",52,1,1,1,1,24.245,22.605,22.938,1058
1247,"111","New",1,2,0,0,1,26.183,22.555,21.961,1137
1248,"311","Old",39,18,0,0,1,23.728,23.366,25.248,1097
1249,"311","Old",58,15,1,1,1,20.226,22.49,22.624,1151
1250,"111","New",50,19,1,1,1,20.781,23.016,20.196,1091
1251,"311","Old",7,8,0,0,1,22.629,24.803,19.954,1050
1252,"311","Old",24,1,0,0,1,26.347,26.243,21.416,1049
1253,"311","Old",37,2,0,0,1,24.981,21.279,23.77,1139
1254,"211","New",54,4,0,0,1,21.764,22.95,22.691,1079
1255,"111","New",42,12,1,1,1,22.971,19.9,24.98,1087
1256,"211","New",56,4,0,0,1,26.483,21.661,21.586,1048
1257,"111","New",33,23,1,1,1,16.861,20.311,26.213,1072
1258,"111","New",57,17,1,1,1,24.705,19.744,23.023,1107
1259,"311","Old",28,19,1,1,1,26.063,23.463,23.824,1113
1260,"311","Old",10,7,0,0,1,23.138,24.125,23.823,1137
1261,"311","Old",37,22,0,0,1,19.708,22.932,20.995,1091
1262,"111","New",44,4,0,0,1,18.893,17.285,20.472,1181
1263,"111","New",21,14,1,1,1,21.719,23.534,24.881,1080
1264,"111","New",57,5,1,1,1,21.639,20.972,23.148,1166
1265,"111","New",9,10,0,0,1,21.971,21.35,26.282,1097
1266,"111","New",2,11,0,0,1,23.692,19.596,23.955,1032
1267,"311","Old",45,15,0,0,1,20.811,24.26,22.379,1123
1268,"111","New",22,23,1,1,1,18.134,22.488,22.355,1073
1269,"311","Old",43,21,1,1,1,24.376,23.341,24.232,1093
1270,"311","Old",8,1,1,1,1,22.785,20.116,22.608,1094
1271,"211","New",6,24,0,0,1,24.643,23.345,19.321,1069
1272,"311","Old",51,16,0,0,1,24.225,27.44,21.137,1149
1273,"311","Old",6,5,1,1,1,22.293,21.837,25.421,1102
1274,"211","New",40,20,1,1,1,22.233,19.959,21.705,1078
1275,"111","New",22,5,0,0,1,22.288,20,23.272,1064
1276,"311","Old",51,22,0,0,1,24.19,22.379,23.956,1120
1277,"311","Old",25,2,0,0,1,22.269,25.717,20.909,1100
1278,"311","Old",54,2,0,0,1,23.418,24.068,21.287,1057
1279,"311","Old",11,10,1,1,1,24.699,24.386,19.127,1109
1280,"211","New",57,5,0,0,1,22.105,23.747,24.555,1092
1281,"111","New",8,10,0,0,1,23.427,21.798,27.426,1132
1282,"311","Old",2,4,1,1,1,23.143,21.797,20.945,1082
1283,"211","New",34,1,1,1,1,20.223,21.35,18.714,1075
1284,"111","New",6,3,0,0,1,17.713,23.307,24.244,1100
1285,"311","Old",41,19,1,1,1,25.455,21.945,20.47,1121
1286,"311","Old",28,24,0,0,1,24.03,21.032,22.899,1062
1287,"311","Old",24,14,1,1,1,25.336,20.724,23.62,1050
1288,"211","New",31,24,1,1,1,23.388,22.308,21.992,1067
1289,"311","Old",6,9,1,1,1,25.024,23.497,23.407,1206
1290,"111","New",21,17,1,1,1,24.563,17.75,24.172,1143
1291,"211","New",38,20,1,1,1,21.34,23.756,25.169,1146
1292,"311","Old",8,10,0,0,1,23.162,23.202,24,1109
1293,"311","Old",51,3,1,1,1,22.486,21.838,21.771,1134
1294,"211","New",35,13,1,1,1,22.366,24.445,23.558,1065
1295,"311","Old",40,5,1,1,1,22.89,21.644,24.554,1107
1296,"311","Old",8,18,1,1,1,20.655,22.552,26.44,1137
1297,"211","New",16,2,0,0,1,18.77,25.059,23.449,1154
1298,"111","New",39,1,1,1,1,22.712,22.554,21.524,1136
1299,"211","New",28,18,0,0,1,26.509,21.575,24.243,1107
